Address,Name,Symbol,Decimals,LockedInBridge,TimeStamp,BlockNumber
0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,Pundi X Token,PUNDIX,18,27850858836442366712529276,1673794085368,16412895
0xdAC17F958D2ee523a2206206994597C13D831ec7,Tether USD,USDT,6,590578679706,1673794086905,16412895
0x6B175474E89094C44Da98b954EedeAC495271d0F,Dai Stablecoin,DAI,18,500000000000000000,1673794088941,16412895
0xdB25f211AB05b1c97D595516F45794528a807ad8,STASIS EURS Token,EURS,2,0,1673794091386,16412896
0x514910771AF9Ca656af840dff83E8264EcF986CA,ChainLink Token,LINK,18,0,1673794094924,16412896
0xAE12C5930881c53715B369ceC7606B70d8EB229f,Coin98,C98,18,0,1673794096609,16412896
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,Wrapped Ether,WETH,18,194807731662143771478,1673794098161,16412896
0x4Fabb145d64652a948d72533023f6E7A623C7C53,Binance USD,BUSD,18,0,1673794099776,16412896
0x853d955aCEf822Db058eb8505911ED77F175b99e,Frax,FRAX,18,0,1673794101771,16412896
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USD Coin,USDC,6,2000000,1673794103684,16412896
